RK,Name,Team,GP,G,A,PTS,"""+-""",PIM,PP,PPA,SH,SHA,GWG,SOG,S%,FO,FO%
256,"Østli, Andreas",MAN,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
256,"Finstad-Ødegård, Leon",STO,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
256,"Fjeld, Simen Treichel",LIL,2,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
256,"Dagsland, Ferdinand",STA,4,0,0,0,2,0,0,0,0,0,0,9,0,0,0
256,"Strengelsrud, Lars Håvard Svarttjernet",KON,3,0,0,0,-2,0,0,0,0,0,0,1,0,8,50
256,"Lennby, Maximilian Vidar",STJ,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0
256,"Lilleaas, Jesper Henriksen",MAN,11,0,0,0,-2,4,0,0,0,0,0,17,0,0,0
256,"Ulrichsen, William Marcelius Evjen",JAR,10,0,0,0,-15,0,0,0,0,0,0,2,0,0,0
256,"Sollien, Elias",STO,2,0,0,0,-1,2,0,0,0,0,0,4,0,0,0
256,"Sagaev, Magomed",JAR,6,0,0,0,-11,2,0,0,0,0,0,1,0,5,60
256,"Brandt, Brian Gjerlid",LIL,4,0,0,0,-1,0,0,0,0,0,0,13,0,0,0
256,"Ramsli, Mark Steinovich",STJ,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0
256,"Johansen, Linus Starheim",MAN,1,0,0,0,0,0,0,0,0,0,0,0,0,5,60
256,"Pettersen, Fredrik",LØR,6,0,0,0,-1,2,0,0,0,0,0,1,0,0,0
256,"Kalinka, Andrej Normann",STO,2,0,0,0,-2,14,0,0,0,0,0,7,0,14,50
256,"Christensen, Anton Nærby",JAR,6,0,0,0,-7,4,0,0,0,0,0,4,0,1,0
256,"Fossen, Olander Andreas",JAR,6,0,0,0,-8,0,0,0,0,0,0,6,0,0,0
256,"Moe, Isak Rambæk",LIL,8,0,0,0,-2,2,0,0,0,0,0,2,0,0,0
256,"Berg, Adam Dahis",NID,9,0,0,0,-5,0,0,0,0,0,0,1,0,12,50
256,"Adsen, Petter Laurits",NID,4,0,0,0,-4,29,0,0,0,0,0,1,0,0,0
256,"Fossum, Marlon",VÅL,3,0,0,0,0,2,0,0,0,0,0,3,0,0,0
256,"Sæther, Marcus Wigdahl",FRI,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0
256,"Rønning, Eskil Laukholm",NID,8,0,0,0,-14,12,0,0,0,0,0,4,0,0,0
256,"Saxrud, Liam Killingrød",STJ,3,0,0,0,-1,2,0,0,0,0,0,1,0,0,0
256,"Arnesen, Johannes Elis",VÅL,2,0,0,0,-1,0,0,0,0,0,0,2,0,17,47.1
256,"Aas, Aleksander Amundsen",NID,4,0,0,0,-6,0,0,0,0,0,0,5,0,0,0
256,"Olsen, Sander Pedersen",KON,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Haugen, Theo",SPA,1,0,0,0,-1,0,0,0,0,0,0,2,0,0,0
256,"Bjørknes, Trym Marius",LØR,3,0,0,0,-1,0,0,0,0,0,0,2,0,0,0
256,"Polzin, Aleksander Thorvaldsen",JAR,7,0,0,0,-12,2,0,0,0,0,0,2,0,0,0
256,"Dabrowski, Hubert",MAN,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
256,"Lundberg, Simon Justnes",NID,2,0,0,0,-3,2,0,0,0,0,0,2,0,2,0
256,"Engebrigtsen, Casper",FRI,2,0,0,0,-3,0,0,0,0,0,0,2,0,0,0
256,"Wilberg, Theo Kvarme",NID,10,0,0,0,-14,0,0,0,0,0,1,9,0,71,29.6
256,"Furelid, Felix",NID,10,0,0,0,-10,4,0,0,0,0,0,4,0,21,42.9
256,"Bjarheim, Viktor",KON,5,0,0,0,-2,0,0,0,0,0,0,1,0,2,100
256,"Hveding, Johannes",NID,7,0,0,0,-4,0,0,0,0,0,0,1,0,0,0
256,"Jarberg, Robin",SPA,11,0,0,0,-1,2,0,0,0,0,0,1,0,1,0
256,"Arnestad, Linus Johan Eidsa",LIL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Bugge-Paulsen, Mads Bahr",JAR,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,0
256,"Reistad-Gysler, Tinius",VÅL,1,0,0,0,0,0,0,0,0,0,0,4,0,3,100
256,"Ballovarre, Aksel",STJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Simensen, Lukas",SPA,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
256,"Olafsen, Casper Opiana",STA,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
256,"Gjerpe, Florian Eikrem",JAR,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
256,"Sandberg, Robin Bergsløkken",KON,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
256,"Eggers, Sindre",LØR,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0
256,"Risjord, Adrian Stanes",JAR,5,0,0,0,-4,0,0,0,0,0,0,5,0,20,30
256,"Snellingen, Ola",LØR,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
256,"Ankjell, Alexander Emil",JAR,4,0,0,0,-7,0,0,0,0,0,0,5,0,3,0
256,"Olsen-Bærem, Noah Leander",SPA,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
256,"Buberget, Victor",KON,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0
256,"Stenbæk, Heine Hollstedt",MAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Solvang-Moran, Casper",LØR,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0
256,"Mortvedt, Oscar Grothe",FRI,5,0,0,0,1,2,0,0,0,0,0,2,0,0,0
256,"Jenssveen, Emil",LIL,11,0,0,0,-6,8,0,0,0,0,0,15,0,0,0
256,"Takala, Elias Juhani",STJ,5,0,0,0,0,2,0,0,0,0,0,6,0,0,0
256,"Svane-Riaz, Noah",MAN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,"Tronsvang, Noah",NID,2,0,0,0,-3,0,0,0,0,0,0,1,0,0,0
256,"Strand, Håkon Sunde",NID,6,0,0,0,-13,0,0,0,0,0,0,3,0,44,45.5
256,"Dahle, Thomas Behialu",JAR,1,0,0,0,-2,0,0,0,0,0,0,1,0,0,0
256,"Gimmestad, Embrik Midtsand Andersen",NID,10,0,0,0,-7,2,0,0,0,0,0,2,0,3,66.7
256,"Storesund, Felix André",NID,3,0,0,0,-2,4,0,0,0,0,0,2,0,0,0
256,"Hotic-Kvernstad, Arian",NID,10,0,0,0,-4,4,0,0,0,0,0,4,0,70,44.3
256,"Angeltvedt, Eirik",JAR,10,0,0,0,-16,2,0,0,0,0,0,2,0,123,34.1
256,"Hårstad-Evjen, Magnus Nathaniel",FRI,4,0,0,0,0,4,0,0,0,0,0,2,0,0,0
256,"Gulinski, Oskar",LIL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Stoveland, Isak",FRI,2,0,0,0,-1,2,0,0,0,0,0,3,0,0,0
256,"Holen, Vebjørn Olasveen",LIL,12,0,0,0,-6,4,0,0,0,0,0,0,0,0,0
256,"Solhaug, Lukas Trondsen",NID,4,0,0,0,-4,2,0,0,0,0,0,2,0,1,0
